epoch,latitude,longitude,altitude_m
0.0,-23.440000,-46.470000,200.0
8.0,-23.145177,-46.273920,372.1
16.0,-22.850356,-46.077840,542.8
24.0,-22.555542,-45.881760,712.2
32.0,-22.260738,-45.685680,880.1
992.0,12.500542,-22.156080,10,999.3
1,000.0,12.785319,-21.960000,11,000.0
1,008.0,13.070095,-21.763920,10,999.3
1,016.0,13.354874,-21.567840,10,997.2
1,024.0,13.639660,-21.371760,10,993.8
1,032.0,13.924455,-21.175680,10,988.9
1,040.0,14.209262,-20.979600,10,982.7
1,048.0,14.494085,-20.783520,10,975.1
1,056.0,14.778927,-20.587440,10,966.1
1,064.0,15.063790,-20.391360,10,955.8
1,072.0,15.348679,-20.195280,10,944.0
1,080.0,15.633595,-19.999200,10,930.9
1,088.0,15.918543,-19.803120,10,916.4
1,096.0,16.203525,-19.607040,10,900.5
1,104.0,16.488544,-19.410960,10,883.2
1,112.0,16.773604,-19.214880,10,864.5
1,120.0,17.058707,-19.018800,10,844.5
1,128.0,17.343856,-18.822720,10,823.1
1,136.0,17.629054,-18.626640,10,800.2
1,144.0,17.914305,-18.430560,10,776.1
1,152.0,18.199610,-18.234480,10,750.5
1,160.0,18.484973,-18.038400,10,723.5
1,168.0,18.770397,-17.842320,10,695.2
1,176.0,19.055884,-17.646240,10,665.5
1,184.0,19.341437,-17.450160,10,634.4
1,192.0,19.627059,-17.254080,10,601.9
1,200.0,19.912752,-17.058000,10,568.0
1,208.0,20.198520,-16.861920,10,532.7
1,216.0,20.484363,-16.665840,10,496.1
1,224.0,20.770286,-16.469760,10,458.1
1,232.0,21.056291,-16.273680,10,418.7
1,240.0,21.342379,-16.077600,10,377.9
1,248.0,21.628553,-15.881520,10,335.8
1,256.0,21.914816,-15.685440,10,292.2
1,264.0,22.201170,-15.489360,10,247.3
1,272.0,22.487616,-15.293280,10,201.0
1,280.0,22.774158,-15.097200,10,153.3
1,288.0,23.060796,-14.901120,10,104.2
1,296.0,23.347534,-14.705040,10,053.7
1,304.0,23.634372,-14.508960,10,001.9
1,312.0,23.921314,-14.312880,9,948.7
1,320.0,24.208360,-14.116800,9,894.1
1,328.0,24.495513,-13.920720,9,838.1
1,336.0,24.782773,-13.724640,9,780.7
1,344.0,25.070144,-13.528560,9,722.0
1,352.0,25.357625,-13.332480,9,661.8
1,360.0,25.645219,-13.136400,9,600.3
1,368.0,25.932928,-12.940320,9,537.4
1,376.0,26.220751,-12.744240,9,473.1
1,384.0,26.508692,-12.548160,9,407.5
1,392.0,26.796750,-12.352080,9,340.4
1,400.0,27.084927,-12.156000,9,272.0
1,408.0,27.373224,-11.959920,9,202.2
1,416.0,27.661642,-11.763840,9,131.0
1,424.0,27.950181,-11.567760,9,058.4
1,432.0,28.238844,-11.371680,8,984.5
1,440.0,28.527629,-11.175600,8,909.1
1,448.0,28.816538,-10.979520,8,832.4
1,456.0,29.105572,-10.783440,8,754.3
1,464.0,29.394731,-10.587360,8,674.8
1,472.0,29.684015,-10.391280,8,593.9
1,480.0,29.973425,-10.195200,8,511.7
1,488.0,30.262961,-9.999120,8,428.0
1,496.0,30.552622,-9.803040,8,343.0
1,504.0,30.842410,-9.606960,8,256.6
1,512.0,31.132325,-9.410880,8,168.8
1,520.0,31.422365,-9.214800,8,079.7
1,528.0,31.712531,-9.018720,7,989.1
1,536.0,32.002823,-8.822640,7,897.2
1,544.0,32.293241,-8.626560,7,803.9
1,552.0,32.583783,-8.430480,7,709.2
1,560.0,32.874450,-8.234400,7,613.1
1,568.0,33.165241,-8.038320,7,515.7
1,576.0,33.456156,-7.842240,7,416.8
1,584.0,33.747193,-7.646160,7,316.6
1,592.0,34.038352,-7.450080,7,215.0
1,600.0,34.329632,-7.254000,7,112.0
1,608.0,34.621032,-7.057920,7,007.6
1,616.0,34.912551,-6.861840,6,901.9
1,624.0,35.204189,-6.665760,6,794.7
1,632.0,35.495943,-6.469680,6,686.2
1,640.0,35.787813,-6.273600,6,576.3
1,648.0,36.079797,-6.077520,6,465.0
1,656.0,36.371894,-5.881440,6,352.4
1,664.0,36.664103,-5.685360,6,238.3
1,672.0,36.956421,-5.489280,6,122.9
1,680.0,37.248848,-5.293200,6,006.1
1,688.0,37.541382,-5.097120,5,887.9
1,696.0,37.834021,-4.901040,5,768.3
1,704.0,38.126763,-4.704960,5,647.3
1,712.0,38.419606,-4.508880,5,525.0
1,720.0,38.712549,-4.312800,5,401.3
1,728.0,39.005589,-4.116720,5,276.2
1,736.0,39.298725,-3.920640,5,149.7
1,744.0,39.591953,-3.724560,5,021.8
1,752.0,39.885273,-3.528480,4,892.6
1,760.0,40.178682,-3.332400,4,761.9
1,768.0,40.472178,-3.136320,4,629.9
1,776.0,40.765758,-2.940240,4,496.5
1,784.0,41.059420,-2.744160,4,361.7
1,792.0,41.353161,-2.548080,4,225.5
1,800.0,41.646980,-2.352000,4,088.0
1,808.0,41.940872,-2.155920,3,949.1
1,816.0,42.234837,-1.959840,3,808.8
1,824.0,42.528871,-1.763760,3,667.1
1,832.0,42.822972,-1.567680,3,524.0
1,840.0,43.117136,-1.371600,3,379.5
1,848.0,43.411362,-1.175520,3,233.7
1,856.0,43.705646,-0.979440,3,086.5
1,864.0,43.999985,-0.783360,2,937.8
1,872.0,44.294377,-0.587280,2,787.9
1,880.0,44.588819,-0.391200,2,636.5
1,888.0,44.883307,-0.195120,2,483.7
1,896.0,45.177840,0.000960,2,329.6
1,904.0,45.472413,0.197040,2,174.1
1,912.0,45.767024,0.393120,2,017.2
1,920.0,46.061670,0.589200,1,858.9
1,928.0,46.356348,0.785280,1,699.2
1,936.0,46.651054,0.981360,1,538.2
1,944.0,46.945786,1.177440,1,375.7
1,952.0,47.240540,1.373520,1,211.9
1,960.0,47.535314,1.569600,1,046.7
1,968.0,47.830104,1.765680,880.1
1,976.0,48.124907,1.961760,712.2
1,984.0,48.419720,2.157840,542.8
1,992.0,48.714540,2.353920,372.1
2,000.0,49.009363,2.550000,200.0
